Age,Gender,Employment_Status,Disposable_Income,Preferred_Platform,Shopping_Frequency_Per_Month,Current_Mood,Primary_Trigger,Product_Category,Made_Impulse_Purchase
33,Female,Employed,"Under ₹2,000",E-commerce Website,5,Neutral,Free Shipping Threshold,Clothing,No
42,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Neutral,Limited Time Flash Sale,Gaming/Digital,Yes
37,Female,Student,"Above ₹15,000",E-commerce Website,7,Sad,Attractive Packaging,Gaming/Digital,Yes
25,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,8,Happy,Limited Time Flash Sale,Electronics,No
19,Male,Employed,"₹5,000 - ₹15,000",Physical In-Store,4,Stressed,Free Shipping Threshold,Electronics,No
48,Female,Student,"Under ₹2,000",Social Media Stores,2,Bored,Free Shipping Threshold,Food/Snacks,No
28,Male,Employed,"Under ₹2,000",Physical In-Store,9,Neutral,Social Media Ad,Electronics,Yes
28,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,2,Bored,Attractive Packaging,Food/Snacks,Yes
27,Male,Student,"Above ₹15,000",Physical In-Store,5,Stressed,Social Media Ad,Clothing,Yes
29,Female,Self-employed,"Above ₹15,000",E-commerce Website,2,Bored,Social Media Ad,Beauty/Cosmetics,No
26,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,9,Stressed,Social Media Ad,Food/Snacks,No
23,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Stressed,Heavy Discount,Clothing,No
23,Other,Employed,"₹5,000 - ₹15,000",Social Media Stores,4,Sad,Social Media Ad,Electronics,No
27,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,5,Neutral,Attractive Packaging,Clothing,Yes
23,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,4,Bored,Limited Time Flash Sale,Clothing,Yes
22,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,9,Neutral,Free Shipping Threshold,Clothing,No
28,Female,Employed,"Under ₹2,000",E-commerce Website,4,Neutral,Social Media Ad,Beauty/Cosmetics,No
25,Male,Unemployed,"Above ₹15,000",E-commerce Website,7,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
40,Female,Unemployed,"Under ₹2,000",E-commerce Website,4,Stressed,Social Media Ad,Food/Snacks,Yes
18,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Bored,Heavy Discount,Food/Snacks,No
36,Male,Self-employed,"Above ₹15,000",Social Media Stores,4,Happy,Heavy Discount,Food/Snacks,No
37,Male,Employed,"₹2,000 - ₹5,000",Physical In-Store,5,Neutral,Social Media Ad,Beauty/Cosmetics,No
18,Male,Employed,"Under ₹2,000",Social Media Stores,4,Neutral,Free Shipping Threshold,Food/Snacks,Yes
25,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,6,Neutral,Social Media Ad,Electronics,No
25,Male,Employed,"₹5,000 - ₹15,000",Physical In-Store,5,Bored,Limited Time Flash Sale,Food/Snacks,Yes
18,Male,Self-employed,"Under ₹2,000",E-commerce Website,4,Neutral,Social Media Ad,Gaming/Digital,No
21,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,9,Bored,Free Shipping Threshold,Clothing,Yes
19,Female,Employed,"₹2,000 - ₹5,000",Physical In-Store,2,Neutral,Social Media Ad,Beauty/Cosmetics,No
42,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Stressed,Free Shipping Threshold,Clothing,No
35,Female,Employed,"Under ₹2,000",E-commerce Website,7,Happy,Social Media Ad,Electronics,Yes
38,Male,Student,"₹5,000 - ₹15,000",Physical In-Store,4,Sad,Social Media Ad,Beauty/Cosmetics,No
33,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,6,Happy,Heavy Discount,Electronics,No
18,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,9,Stressed,Attractive Packaging,Gaming/Digital,No
23,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,8,Neutral,Social Media Ad,Beauty/Cosmetics,No
31,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,1,Sad,Free Shipping Threshold,Food/Snacks,No
18,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Neutral,Attractive Packaging,Clothing,No
33,Female,Student,"Under ₹2,000",Quick Commerce,7,Stressed,Attractive Packaging,Clothing,Yes
26,Male,Student,"₹5,000 - ₹15,000",Quick Commerce,8,Bored,Limited Time Flash Sale,Clothing,Yes
25,Female,Self-employed,"Above ₹15,000",Social Media Stores,5,Stressed,Limited Time Flash Sale,Electronics,Yes
33,Male,Student,"Under ₹2,000",E-commerce Website,8,Happy,Social Media Ad,Beauty/Cosmetics,No
31,Other,Student,"₹5,000 - ₹15,000",Physical In-Store,4,Bored,Free Shipping Threshold,Clothing,Yes
25,Female,Self-employed,"₹5,000 - ₹15,000",Social Media Stores,8,Happy,Social Media Ad,Electronics,Yes
37,Male,Unemployed,"Under ₹2,000",E-commerce Website,3,Sad,Free Shipping Threshold,Gaming/Digital,Yes
19,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,3,Bored,Attractive Packaging,Food/Snacks,Yes
32,Male,Student,"Above ₹15,000",E-commerce Website,2,Happy,Heavy Discount,Beauty/Cosmetics,No
32,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Bored,Social Media Ad,Food/Snacks,Yes
25,Male,Unemployed,"Above ₹15,000",E-commerce Website,4,Bored,Attractive Packaging,Beauty/Cosmetics,Yes
30,Male,Self-employed,"₹5,000 - ₹15,000",Social Media Stores,14,Stressed,Social Media Ad,Clothing,No
18,Female,Employed,"Under ₹2,000",E-commerce Website,4,Bored,Free Shipping Threshold,Gaming/Digital,Yes
35,Male,Student,"Under ₹2,000",Quick Commerce,7,Happy,Social Media Ad,Food/Snacks,Yes
26,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,8,Sad,Heavy Discount,Beauty/Cosmetics,Yes
23,Female,Student,"₹5,000 - ₹15,000",Quick Commerce,4,Stressed,Social Media Ad,Gaming/Digital,Yes
36,Female,Employed,"Under ₹2,000",E-commerce Website,7,Neutral,Attractive Packaging,Electronics,No
22,Female,Student,"₹5,000 - ₹15,000",Social Media Stores,4,Sad,Attractive Packaging,Food/Snacks,No
18,Male,Unemployed,"₹5,000 - ₹15,000",Physical In-Store,3,Neutral,Attractive Packaging,Clothing,No
18,Male,Student,"₹5,000 - ₹15,000",Social Media Stores,2,Happy,Heavy Discount,Clothing,Yes
32,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,5,Happy,Heavy Discount,Electronics,No
18,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,8,Neutral,Heavy Discount,Electronics,No
42,Female,Employed,"Above ₹15,000",E-commerce Website,3,Stressed,Limited Time Flash Sale,Food/Snacks,Yes
18,Female,Student,"Above ₹15,000",Social Media Stores,2,Bored,Attractive Packaging,Electronics,Yes
41,Other,Employed,"₹2,000 - ₹5,000",E-commerce Website,9,Bored,Attractive Packaging,Food/Snacks,No
29,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,2,Bored,Heavy Discount,Gaming/Digital,No
27,Female,Student,"Under ₹2,000",E-commerce Website,4,Happy,Limited Time Flash Sale,Beauty/Cosmetics,Yes
23,Male,Self-employed,"Under ₹2,000",Physical In-Store,7,Sad,Limited Time Flash Sale,Electronics,Yes
31,Male,Employed,"Under ₹2,000",Social Media Stores,6,Happy,Heavy Discount,Gaming/Digital,No
27,Female,Self-employed,"Under ₹2,000",E-commerce Website,5,Bored,Limited Time Flash Sale,Electronics,Yes
36,Male,Self-employed,"Above ₹15,000",E-commerce Website,4,Stressed,Heavy Discount,Gaming/Digital,No
28,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Attractive Packaging,Gaming/Digital,Yes
29,Male,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Bored,Social Media Ad,Food/Snacks,Yes
25,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,8,Bored,Attractive Packaging,Clothing,Yes
27,Male,Unemployed,"₹5,000 - ₹15,000",E-commerce Website,3,Happy,Attractive Packaging,Gaming/Digital,No
30,Female,Employed,"Under ₹2,000",E-commerce Website,3,Neutral,Free Shipping Threshold,Food/Snacks,Yes
18,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,2,Stressed,Attractive Packaging,Electronics,Yes
18,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Bored,Free Shipping Threshold,Electronics,No
33,Male,Student,"₹5,000 - ₹15,000",Physical In-Store,9,Stressed,Limited Time Flash Sale,Electronics,Yes
29,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,6,Stressed,Heavy Discount,Beauty/Cosmetics,Yes
26,Female,Self-employed,"Under ₹2,000",E-commerce Website,2,Bored,Limited Time Flash Sale,Beauty/Cosmetics,No
28,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,5,Neutral,Limited Time Flash Sale,Beauty/Cosmetics,Yes
30,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Social Media Ad,Electronics,Yes
23,Female,Employed,"Above ₹15,000",E-commerce Website,6,Bored,Heavy Discount,Electronics,Yes
21,Female,Employed,"₹2,000 - ₹5,000",Social Media Stores,6,Stressed,Social Media Ad,Beauty/Cosmetics,Yes
29,Male,Employed,"Under ₹2,000",Social Media Stores,7,Neutral,Social Media Ad,Food/Snacks,No
20,Male,Student,"Above ₹15,000",E-commerce Website,2,Happy,Social Media Ad,Electronics,Yes
31,Other,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Happy,Attractive Packaging,Electronics,No
18,Female,Employed,"₹2,000 - ₹5,000",Physical In-Store,2,Happy,Limited Time Flash Sale,Food/Snacks,Yes
36,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,4,Bored,Heavy Discount,Clothing,Yes
31,Female,Self-employed,"₹2,000 - ₹5,000",Quick Commerce,7,Neutral,Attractive Packaging,Clothing,Yes
30,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,6,Happy,Social Media Ad,Beauty/Cosmetics,Yes
35,Male,Student,"₹5,000 - ₹15,000",Social Media Stores,6,Neutral,Social Media Ad,Food/Snacks,Yes
41,Female,Employed,"Under ₹2,000",E-commerce Website,8,Stressed,Social Media Ad,Food/Snacks,Yes
36,Female,Employed,"Above ₹15,000",Social Media Stores,5,Stressed,Social Media Ad,Beauty/Cosmetics,Yes
18,Male,Employed,"Above ₹15,000",E-commerce Website,7,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
18,Female,Employed,"Above ₹15,000",E-commerce Website,7,Stressed,Free Shipping Threshold,Electronics,Yes
23,Male,Student,"Above ₹15,000",Physical In-Store,5,Bored,Social Media Ad,Clothing,Yes
28,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,5,Neutral,Free Shipping Threshold,Food/Snacks,Yes
32,Male,Self-employed,"₹2,000 - ₹5,000",Quick Commerce,7,Stressed,Heavy Discount,Food/Snacks,No
22,Male,Self-employed,"Under ₹2,000",Social Media Stores,10,Stressed,Social Media Ad,Gaming/Digital,Yes
29,Female,Employed,"Under ₹2,000",E-commerce Website,6,Bored,Free Shipping Threshold,Electronics,No
21,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,1,Neutral,Free Shipping Threshold,Clothing,No
23,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Happy,Limited Time Flash Sale,Clothing,Yes
18,Other,Unemployed,"Above ₹15,000",Quick Commerce,6,Happy,Limited Time Flash Sale,Gaming/Digital,Yes
20,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Bored,Heavy Discount,Electronics,Yes
18,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,2,Sad,Social Media Ad,Clothing,No
20,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,5,Sad,Limited Time Flash Sale,Beauty/Cosmetics,No
36,Male,Student,"Under ₹2,000",Social Media Stores,6,Neutral,Social Media Ad,Electronics,No
20,Female,Employed,"Above ₹15,000",E-commerce Website,7,Stressed,Limited Time Flash Sale,Clothing,Yes
49,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,3,Neutral,Social Media Ad,Beauty/Cosmetics,No
31,Female,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,5,Stressed,Free Shipping Threshold,Gaming/Digital,Yes
29,Female,Self-employed,"Above ₹15,000",Social Media Stores,5,Bored,Free Shipping Threshold,Clothing,Yes
21,Male,Student,"₹5,000 - ₹15,000",Quick Commerce,3,Sad,Heavy Discount,Electronics,Yes
33,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,3,Bored,Attractive Packaging,Food/Snacks,No
23,Male,Student,"₹5,000 - ₹15,000",Social Media Stores,1,Neutral,Free Shipping Threshold,Gaming/Digital,No
28,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Bored,Limited Time Flash Sale,Food/Snacks,Yes
48,Male,Self-employed,"Under ₹2,000",Social Media Stores,5,Stressed,Social Media Ad,Electronics,No
27,Female,Employed,"Above ₹15,000",Quick Commerce,8,Bored,Social Media Ad,Clothing,Yes
37,Male,Employed,"Above ₹15,000",Social Media Stores,4,Happy,Heavy Discount,Clothing,Yes
22,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,7,Neutral,Free Shipping Threshold,Electronics,Yes
27,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Bored,Attractive Packaging,Electronics,Yes
42,Other,Employed,"Above ₹15,000",Quick Commerce,6,Bored,Attractive Packaging,Gaming/Digital,No
22,Male,Student,"₹2,000 - ₹5,000",Quick Commerce,4,Bored,Attractive Packaging,Electronics,Yes
42,Female,Employed,"Above ₹15,000",Quick Commerce,7,Neutral,Attractive Packaging,Electronics,Yes
33,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,2,Stressed,Free Shipping Threshold,Clothing,No
23,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,6,Happy,Free Shipping Threshold,Gaming/Digital,Yes
33,Male,Unemployed,"₹5,000 - ₹15,000",E-commerce Website,6,Stressed,Attractive Packaging,Clothing,No
35,Female,Self-employed,"₹5,000 - ₹15,000",Physical In-Store,4,Sad,Social Media Ad,Gaming/Digital,No
32,Female,Unemployed,"Under ₹2,000",Social Media Stores,7,Happy,Social Media Ad,Food/Snacks,No
18,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,8,Neutral,Social Media Ad,Food/Snacks,No
22,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,4,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
26,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,9,Stressed,Free Shipping Threshold,Electronics,No
27,Male,Employed,"Under ₹2,000",Physical In-Store,3,Neutral,Social Media Ad,Clothing,No
32,Female,Employed,"₹5,000 - ₹15,000",Quick Commerce,6,Bored,Free Shipping Threshold,Gaming/Digital,Yes
29,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,4,Sad,Attractive Packaging,Beauty/Cosmetics,Yes
18,Male,Student,"Above ₹15,000",E-commerce Website,1,Neutral,Free Shipping Threshold,Food/Snacks,No
31,Female,Student,"Above ₹15,000",E-commerce Website,6,Neutral,Attractive Packaging,Beauty/Cosmetics,No
32,Female,Self-employed,"Above ₹15,000",Social Media Stores,6,Sad,Heavy Discount,Clothing,No
32,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,4,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
36,Male,Unemployed,"₹5,000 - ₹15,000",Quick Commerce,8,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
34,Male,Employed,"Under ₹2,000",Social Media Stores,4,Bored,Free Shipping Threshold,Food/Snacks,No
31,Female,Employed,"Under ₹2,000",Social Media Stores,7,Neutral,Free Shipping Threshold,Beauty/Cosmetics,No
27,Male,Employed,"Under ₹2,000",E-commerce Website,7,Sad,Social Media Ad,Beauty/Cosmetics,No
18,Male,Self-employed,"Above ₹15,000",E-commerce Website,4,Happy,Heavy Discount,Gaming/Digital,No
31,Other,Student,"Under ₹2,000",Quick Commerce,7,Neutral,Social Media Ad,Food/Snacks,No
29,Male,Employed,"Under ₹2,000",E-commerce Website,2,Stressed,Attractive Packaging,Clothing,No
30,Other,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,9,Neutral,Heavy Discount,Electronics,No
18,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Heavy Discount,Clothing,Yes
19,Male,Student,"Above ₹15,000",Quick Commerce,9,Neutral,Heavy Discount,Food/Snacks,Yes
36,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,10,Stressed,Free Shipping Threshold,Beauty/Cosmetics,No
27,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Neutral,Social Media Ad,Food/Snacks,No
33,Female,Student,"Under ₹2,000",Social Media Stores,9,Bored,Attractive Packaging,Electronics,Yes
28,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Stressed,Free Shipping Threshold,Electronics,No
28,Female,Employed,"Under ₹2,000",Physical In-Store,3,Neutral,Limited Time Flash Sale,Food/Snacks,Yes
35,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,3,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
23,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Neutral,Limited Time Flash Sale,Electronics,No
28,Male,Employed,"₹2,000 - ₹5,000",Physical In-Store,3,Happy,Social Media Ad,Clothing,No
24,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,7,Happy,Free Shipping Threshold,Food/Snacks,No
24,Male,Self-employed,"Above ₹15,000",E-commerce Website,3,Happy,Heavy Discount,Food/Snacks,Yes
25,Male,Employed,"Under ₹2,000",E-commerce Website,6,Happy,Free Shipping Threshold,Clothing,No
29,Female,Employed,"Under ₹2,000",E-commerce Website,2,Happy,Free Shipping Threshold,Electronics,No
24,Male,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Heavy Discount,Electronics,Yes
38,Male,Employed,"Under ₹2,000",Quick Commerce,5,Bored,Limited Time Flash Sale,Clothing,Yes
20,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,4,Sad,Heavy Discount,Gaming/Digital,No
26,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Sad,Limited Time Flash Sale,Electronics,Yes
24,Female,Employed,"Above ₹15,000",E-commerce Website,7,Neutral,Free Shipping Threshold,Clothing,Yes
39,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Neutral,Limited Time Flash Sale,Food/Snacks,Yes
29,Male,Employed,"Under ₹2,000",Social Media Stores,4,Bored,Heavy Discount,Beauty/Cosmetics,Yes
36,Female,Employed,"Under ₹2,000",Quick Commerce,3,Neutral,Attractive Packaging,Gaming/Digital,No
18,Male,Self-employed,"Under ₹2,000",E-commerce Website,4,Bored,Limited Time Flash Sale,Beauty/Cosmetics,Yes
30,Female,Student,"₹2,000 - ₹5,000",Quick Commerce,3,Happy,Social Media Ad,Gaming/Digital,No
35,Other,Student,"₹2,000 - ₹5,000",Social Media Stores,2,Stressed,Free Shipping Threshold,Beauty/Cosmetics,Yes
28,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Heavy Discount,Gaming/Digital,Yes
36,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,8,Bored,Heavy Discount,Gaming/Digital,Yes
23,Male,Employed,"₹2,000 - ₹5,000",Social Media Stores,7,Stressed,Attractive Packaging,Gaming/Digital,Yes
39,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,7,Neutral,Limited Time Flash Sale,Clothing,Yes
46,Female,Employed,"Under ₹2,000",E-commerce Website,4,Happy,Free Shipping Threshold,Clothing,Yes
25,Male,Self-employed,"Above ₹15,000",E-commerce Website,3,Bored,Free Shipping Threshold,Food/Snacks,Yes
24,Male,Self-employed,"Under ₹2,000",Quick Commerce,4,Sad,Limited Time Flash Sale,Food/Snacks,No
39,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,5,Bored,Free Shipping Threshold,Beauty/Cosmetics,Yes
40,Female,Unemployed,"Under ₹2,000",Social Media Stores,2,Bored,Social Media Ad,Clothing,Yes
23,Male,Student,"₹2,000 - ₹5,000",Physical In-Store,7,Neutral,Limited Time Flash Sale,Clothing,Yes
24,Female,Employed,"Above ₹15,000",Physical In-Store,2,Stressed,Social Media Ad,Clothing,Yes
25,Male,Employed,"Under ₹2,000",E-commerce Website,6,Neutral,Social Media Ad,Food/Snacks,No
18,Male,Self-employed,"₹2,000 - ₹5,000",Social Media Stores,9,Sad,Heavy Discount,Electronics,No
20,Female,Employed,"Under ₹2,000",E-commerce Website,6,Stressed,Free Shipping Threshold,Beauty/Cosmetics,No
19,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,9,Neutral,Free Shipping Threshold,Gaming/Digital,No
21,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,2,Neutral,Attractive Packaging,Food/Snacks,No
27,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Stressed,Free Shipping Threshold,Gaming/Digital,No
29,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,4,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
40,Male,Student,"Above ₹15,000",Social Media Stores,5,Happy,Social Media Ad,Clothing,No
20,Female,Student,"₹2,000 - ₹5,000",Quick Commerce,4,Happy,Limited Time Flash Sale,Beauty/Cosmetics,Yes
35,Female,Unemployed,"₹5,000 - ₹15,000",Physical In-Store,6,Happy,Free Shipping Threshold,Clothing,Yes
26,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Bored,Limited Time Flash Sale,Gaming/Digital,No
27,Male,Employed,"₹5,000 - ₹15,000",Quick Commerce,3,Bored,Free Shipping Threshold,Food/Snacks,Yes
33,Female,Employed,"Under ₹2,000",E-commerce Website,6,Happy,Attractive Packaging,Beauty/Cosmetics,Yes
19,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,5,Happy,Attractive Packaging,Electronics,No
31,Female,Employed,"Under ₹2,000",E-commerce Website,5,Neutral,Free Shipping Threshold,Beauty/Cosmetics,No
29,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Happy,Limited Time Flash Sale,Beauty/Cosmetics,Yes
31,Female,Student,"₹5,000 - ₹15,000",Quick Commerce,3,Bored,Social Media Ad,Electronics,No
30,Male,Student,"Under ₹2,000",Physical In-Store,8,Stressed,Free Shipping Threshold,Beauty/Cosmetics,No
47,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,8,Bored,Attractive Packaging,Gaming/Digital,Yes
22,Female,Employed,"Above ₹15,000",Quick Commerce,4,Bored,Heavy Discount,Gaming/Digital,Yes
23,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,2,Happy,Free Shipping Threshold,Beauty/Cosmetics,No
23,Male,Employed,"₹2,000 - ₹5,000",E-commerce Website,6,Sad,Heavy Discount,Clothing,No
23,Male,Self-employed,"Above ₹15,000",E-commerce Website,7,Neutral,Heavy Discount,Food/Snacks,Yes
22,Male,Employed,"₹5,000 - ₹15,000",Physical In-Store,9,Happy,Social Media Ad,Food/Snacks,No
37,Male,Self-employed,"Under ₹2,000",Social Media Stores,7,Bored,Attractive Packaging,Food/Snacks,No
39,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,5,Neutral,Free Shipping Threshold,Food/Snacks,Yes
23,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,7,Neutral,Heavy Discount,Clothing,No
21,Female,Student,"₹5,000 - ₹15,000",E-commerce Website,4,Stressed,Attractive Packaging,Clothing,Yes
31,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,8,Happy,Attractive Packaging,Clothing,Yes
23,Female,Employed,"₹5,000 - ₹15,000",Social Media Stores,6,Happy,Attractive Packaging,Beauty/Cosmetics,No
33,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,2,Stressed,Attractive Packaging,Beauty/Cosmetics,Yes
29,Female,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Stressed,Attractive Packaging,Beauty/Cosmetics,No
18,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Neutral,Attractive Packaging,Food/Snacks,Yes
40,Female,Student,"Above ₹15,000",Social Media Stores,4,Neutral,Limited Time Flash Sale,Food/Snacks,Yes
42,Male,Unemployed,"₹2,000 - ₹5,000",E-commerce Website,5,Stressed,Limited Time Flash Sale,Beauty/Cosmetics,Yes
23,Male,Student,"₹5,000 - ₹15,000",E-commerce Website,6,Happy,Attractive Packaging,Food/Snacks,No
24,Male,Self-employed,"₹2,000 - ₹5,000",E-commerce Website,4,Bored,Limited Time Flash Sale,Clothing,No
30,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,6,Sad,Free Shipping Threshold,Gaming/Digital,No
30,Male,Student,"Above ₹15,000",Quick Commerce,4,Neutral,Social Media Ad,Clothing,No
33,Male,Student,"Under ₹2,000",Social Media Stores,4,Happy,Limited Time Flash Sale,Electronics,No
44,Female,Unemployed,"₹2,000 - ₹5,000",Social Media Stores,8,Bored,Limited Time Flash Sale,Clothing,No
26,Female,Student,"₹2,000 - ₹5,000",Physical In-Store,4,Happy,Heavy Discount,Beauty/Cosmetics,Yes
21,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,4,Bored,Social Media Ad,Clothing,No
18,Female,Self-employed,"₹5,000 - ₹15,000",E-commerce Website,5,Neutral,Attractive Packaging,Electronics,No
22,Female,Employed,"Under ₹2,000",Social Media Stores,4,Happy,Attractive Packaging,Electronics,Yes
27,Male,Employed,"Under ₹2,000",Quick Commerce,4,Neutral,Attractive Packaging,Clothing,Yes
42,Female,Unemployed,"₹2,000 - ₹5,000",E-commerce Website,5,Stressed,Free Shipping Threshold,Beauty/Cosmetics,Yes
23,Male,Self-employed,"₹5,000 - ₹15,000",Social Media Stores,3,Stressed,Heavy Discount,Gaming/Digital,Yes
29,Female,Employed,"₹5,000 - ₹15,000",Physical In-Store,10,Neutral,Social Media Ad,Clothing,Yes
27,Female,Employed,"₹5,000 - ₹15,000",E-commerce Website,5,Neutral,Limited Time Flash Sale,Food/Snacks,No
37,Female,Unemployed,"₹5,000 - ₹15,000",Social Media Stores,7,Bored,Heavy Discount,Food/Snacks,No
48,Female,Unemployed,"₹2,000 - ₹5,000",E-commerce Website,3,Neutral,Limited Time Flash Sale,Gaming/Digital,No
23,Male,Employed,"₹5,000 - ₹15,000",E-commerce Website,4,Neutral,Free Shipping Threshold,Beauty/Cosmetics,No
24,Male,Self-employed,"Under ₹2,000",E-commerce Website,2,Happy,Heavy Discount,Food/Snacks,No
36,Female,Employed,"Under ₹2,000",E-commerce Website,10,Neutral,Heavy Discount,Clothing,No
33,Female,Employed,"₹5,000 - ₹15,000",Physical In-Store,6,Stressed,Limited Time Flash Sale,Electronics,No
42,Male,Student,"₹2,000 - ₹5,000",Social Media Stores,6,Bored,Heavy Discount,Gaming/Digital,Yes
32,Female,Student,"₹2,000 - ₹5,000",Physical In-Store,5,Happy,Social Media Ad,Clothing,No
25,Male,Employed,"₹2,000 - ₹5,000",Quick Commerce,5,Neutral,Limited Time Flash Sale,Beauty/Cosmetics,Yes
32,Male,Employed,"₹5,000 - ₹15,000",Social Media Stores,9,Happy,Attractive Packaging,Food/Snacks,No
36,Female,Student,"₹2,000 - ₹5,000",E-commerce Website,6,Bored,Free Shipping Threshold,Gaming/Digital,Yes
34,Male,Employed,"Above ₹15,000",Quick Commerce,2,Stressed,Limited Time Flash Sale,Food/Snacks,Yes
32,Female,Employed,"₹2,000 - ₹5,000",E-commerce Website,2,Bored,Attractive Packaging,Electronics,Yes
